,missing_values_proportion,group
Relative Robo Return90 Market,100,"(90, 100)"
Relative Robo Return30 Financial Services,100,"(90, 100)"
Relative Robo Return90 Financial Services,100,"(90, 100)"
Relative Robo Return Healthcare,100,"(90, 100)"
Relative Robo Return10 Healthcare,100,"(90, 100)"
Relative Robo Return20 Healthcare,100,"(90, 100)"
Relative Robo Return30 Healthcare,100,"(90, 100)"
Relative Robo Return60 Healthcare,100,"(90, 100)"
Relative Robo Return90 Healthcare,100,"(90, 100)"
Relative Robo Return Industrials,100,"(90, 100)"
Relative Robo Return10 Industrials,100,"(90, 100)"
Relative Robo Return20 Industrials,100,"(90, 100)"
Relative Robo Return30 Industrials,100,"(90, 100)"
Relative Robo Return60 Industrials,100,"(90, 100)"
Relative Robo Return90 Industrials,100,"(90, 100)"
Relative Robo Return10 Consumer Defensive,100,"(90, 100)"
Relative Robo Return10 Real Estate,100,"(90, 100)"
Relative Robo Return60 Financial Services,100,"(90, 100)"
Relative Robo Return20 Financial Services,100,"(90, 100)"
Relative Robo Return30 Real Estate,100,"(90, 100)"
Relative Robo Return10 Financial Services,100,"(90, 100)"
Relative Robo Return90 Consumer Cyclical,100,"(90, 100)"
Relative Robo Return20 Consumer Defensive,100,"(90, 100)"
Relative Robo Return30 Consumer Defensive,100,"(90, 100)"
Relative Robo Return60 Consumer Defensive,100,"(90, 100)"
Relative Robo Return90 Consumer Defensive,100,"(90, 100)"
Relative Robo Return Energy,100,"(90, 100)"
Relative Robo Return10 Energy,100,"(90, 100)"
Relative Robo Return60 Consumer Cyclical,100,"(90, 100)"
Relative Robo Return30 Consumer Cyclical,100,"(90, 100)"
Relative Robo Return20 Consumer Cyclical,100,"(90, 100)"
Relative Robo Return20 Energy,100,"(90, 100)"
Relative Robo Return30 Energy,100,"(90, 100)"
Relative Robo Return60 Energy,100,"(90, 100)"
Relative Robo Return90 Energy,100,"(90, 100)"
Relative Robo Return Financial Services,100,"(90, 100)"
Relative Robo Return20 Real Estate,100,"(90, 100)"
Relative Robo Return Real Estate,100,"(90, 100)"
Relative Robo Return Consumer Defensive,100,"(90, 100)"
Relative Robo Return60 Communication Services,100,"(90, 100)"
Relative Robo Return60 Market,100,"(90, 100)"
Relative Robo Return60 Real Estate,100,"(90, 100)"
Relative Robo Return30 Market,100,"(90, 100)"
Relative Robo Return20 Communication Services,100,"(90, 100)"
Relative Robo Return30 Communication Services,100,"(90, 100)"
Relative Robo Return Basic Materials,100,"(90, 100)"
Relative Robo Return90 Communication Services,100,"(90, 100)"
Relative Robo Return Communication Services,100,"(90, 100)"
Relative Robo Return90 Basic Materials,100,"(90, 100)"
Relative Robo Return10 Basic Materials,100,"(90, 100)"
Relative Robo Return60 Basic Materials,100,"(90, 100)"
Relative Robo Return30 Basic Materials,100,"(90, 100)"
Relative Robo Return Market,100,"(90, 100)"
Relative Robo Return20 Basic Materials,100,"(90, 100)"
Relative Robo Return10 Communication Services,100,"(90, 100)"
Relative Robo Return90 Utilities,100,"(90, 100)"
Relative Robo Return10 Market,100,"(90, 100)"
Relative Robo Return60 Utilities,100,"(90, 100)"
Relative Robo Return90 Real Estate,100,"(90, 100)"
Relative Robo Return Technology,100,"(90, 100)"
Relative Robo Return10 Technology,100,"(90, 100)"
Relative Robo Return20 Technology,100,"(90, 100)"
Relative Robo Return30 Technology,100,"(90, 100)"
Relative Robo Return60 Technology,100,"(90, 100)"
Relative Robo Return10 Consumer Cyclical,100,"(90, 100)"
Relative Robo Return90 Technology,100,"(90, 100)"
Relative Robo Return Consumer Cyclical,100,"(90, 100)"
Relative Robo Return Utilities,100,"(90, 100)"
Relative Robo Return10 Utilities,100,"(90, 100)"
Relative Robo Return20 Utilities,100,"(90, 100)"
Relative Robo Return30 Utilities,100,"(90, 100)"
Relative Robo Return20 Market,100,"(90, 100)"
prefDVDs,99.16874352,"(90, 100)"
ncff,98.88292689,"(90, 100)"
ncf,98.88292689,"(90, 100)"
ncfo,98.88292689,"(90, 100)"
depamor,98.88292689,"(90, 100)"
issrepayDebt,98.88292689,"(90, 100)"
issrepayEquity,98.88292689,"(90, 100)"
investmentsAcqDisposals,98.88292689,"(90, 100)"
businessAcqDisposals,98.88292689,"(90, 100)"
freeCashFlow,98.88292689,"(90, 100)"
ncfi,98.88292689,"(90, 100)"
sbcomp,98.88292689,"(90, 100)"
rnd,98.88292689,"(90, 100)"
prefDVDs_3YOY,98.73269981,"(90, 100)"
opex,98.05167041,"(90, 100)"
revenue,98.05167041,"(90, 100)"
ebit,98.05167041,"(90, 100)"
grossProfit,98.05167041,"(90, 100)"
ebt,98.05167041,"(90, 100)"
shareswaDil,98.05167041,"(90, 100)"
costRev,98.05167041,"(90, 100)"
sga,98.05167041,"(90, 100)"
eps,98.05167041,"(90, 100)"
consolidatedIncome,98.05167041,"(90, 100)"
netIncComStock,98.05167041,"(90, 100)"
intexp,98.05167041,"(90, 100)"
taxExp,98.05167041,"(90, 100)"
